,id,defaultOfferType,country,registeredDate
0,6563612899329659014,meal,fin,2015-11-24 16:33:35
1,8724554181611615450,meal,fin,2016-01-27 00:08:50
2,946161542061641905,meal,fin,2016-02-01 15:03:27
3,7056903344430959871,meal,fin,2016-02-02 14:56:40
4,3497712091356119302,meal,fin,2016-02-03 13:20:29
5,4251334339268196030,meal,fin,2016-02-05 08:12:19
6,2952826459114560520,meal,fin,2016-02-05 15:23:58
7,6366348868959889976,meal,fin,2016-02-17 09:57:55
8,3452868479470300484,meal,fin,2016-02-18 08:43:43
9,3004735661182219943,meal,fin,2016-02-18 19:20:30
10,3251367753482568255,meal,fin,2016-02-18 19:22:33
11,8739403635783564815,meal,fin,2016-02-22 14:08:19
12,2672492301413090715,meal,fin,2016-03-01 11:29:45
13,6413127946381468410,meal,fin,2016-03-04 10:40:33
14,4252439828027313267,meal,fin,2016-03-08 13:21:45
15,8411653274887241047,meal,fin,2016-03-09 15:26:54
16,6883147763864202099,meal,fin,2016-03-10 13:06:12
17,170246671684461009,meal,fin,2016-03-10 15:10:28
18,2542069933983897580,meal,fin,2016-03-15 09:57:19
19,8436599906626961173,meal,fin,2016-03-15 10:06:27
20,2514615022673433835,meal,fin,2016-03-15 11:46:51
21,32299645596835530,meal,fin,2016-03-17 06:43:22
22,2926431750941599376,meal,fin,2016-03-17 06:51:32
23,2983771326752312510,meal,fin,2016-03-24 12:01:41
24,8234739256543203109,meal,fin,2016-03-30 06:09:08
25,6749268891831773024,meal,fin,2016-03-30 06:27:43
26,3858184342673385980,meal,fin,2016-03-30 07:13:45
27,840639736300105898,meal,fin,2016-03-30 13:04:22
28,4447511155207831333,snack,fin,2016-04-05 15:45:54
29,6497082428763622756,snack,fin,2016-04-07 11:21:47
30,8794857991198243397,meal,fin,2016-04-08 11:30:57
31,288199580022162329,meal,fin,2016-04-12 08:46:40
32,1584859539848063741,snack,fin,2016-04-14 08:28:52
33,3627519266472542395,meal,fin,2016-04-14 10:52:30
34,5288487495886863226,meal,fin,2016-04-19 11:20:44
35,5864024109615474029,snack,fin,2016-04-20 19:27:05
36,1544508781018764332,meal,fin,2016-04-21 07:41:56
37,3133216512657187756,snack,fin,2016-04-22 11:45:54
38,29885667522229656,meal,fin,2016-04-26 09:18:18
39,2015820874463162994,snack,fin,2016-04-29 05:42:23
40,5329003883586759690,meal,fin,2016-05-02 08:18:59
41,3201775788743261919,meal,fin,2016-05-02 15:17:13
42,2248100581421555755,meal,fin,2016-05-02 15:29:45
43,3835282999853092798,meal,fin,2016-05-02 15:39:10
44,2551015548772756509,meal,fin,2016-05-06 09:34:36
45,6554164156699076551,meal,fin,2016-05-09 11:09:05
46,1479047896297688281,meal,fin,2016-05-13 06:52:26
47,6751772644698023748,meal,fin,2016-05-19 09:29:02
48,7393196408487986148,meal,fin,2016-05-20 09:39:59
49,5450449552734316100,snack,fin,2016-05-24 06:57:25
50,5666139809610164690,meal,fin,2016-05-25 10:10:18
51,3879482001309853651,snack,fin,2016-05-31 14:10:19
52,2842289070135511602,snack,fin,2016-05-31 14:15:13
53,7358640439313693655,snack,fin,2016-06-01 05:01:56
54,8521855799777728379,snack,fin,2016-06-01 05:07:03
55,190486903137957637,snack,fin,2016-06-01 05:11:46
56,3892972684891961275,snack,fin,2016-06-01 07:22:36
57,6960276886026471355,meal,fin,2016-06-01 09:41:02
58,2255903195437870300,meal,fin,2016-06-02 13:43:32
59,7334153308242784339,meal,fin,2016-06-03 13:31:28
60,2779962574746088111,meal,fin,2016-06-03 13:39:00
61,8671992772042032524,meal,fin,2016-06-03 13:46:01
62,635079457520438232,meal,fin,2016-06-05 14:59:53
63,3969424166686513573,meal,fin,2016-06-05 15:10:26
64,2056716817186875855,meal,fin,2016-06-06 15:31:58
65,8692255692213397132,meal,fin,2016-06-09 17:01:32
66,5460559556580551204,meal,fin,2016-06-10 17:52:52
67,8707636359383962112,snack,fin,2016-06-17 10:41:38
68,2733738777033344546,meal,fin,2016-06-17 20:08:15
69,5665305034597046664,meal,fin,2016-06-21 14:12:14
70,5161931747165565813,meal,fin,2016-08-02 08:41:33
71,1723562374207953383,meal,fin,2016-08-04 12:21:38
72,8545352221575586889,meal,fin,2016-08-09 11:04:28
73,6566636039942019962,meal,fin,2016-08-10 08:46:34
74,2667250344842577290,meal,fin,2016-08-10 10:48:22
75,6150439763278736419,meal,fin,2016-08-11 16:13:56
76,5235116313905924718,meal,fin,2016-08-17 11:40:47
77,6043045877463492898,meal,fin,2016-08-17 11:45:06
78,4934202447977925043,snack,fin,2016-08-17 12:21:02
79,839115988258790915,meal,fin,2016-08-23 21:17:45
80,5741729113428731979,snack,fin,2016-08-24 09:33:02
81,8322545055904323258,meal,fin,2016-08-24 10:55:17
82,1576999094346746587,meal,fin,2016-08-25 07:27:15
83,2056475336191066276,meal,fin,2016-08-26 06:21:38
84,755727055124115233,snack,fin,2016-08-31 10:41:04
85,7890150542798500430,meal,fin,2016-09-08 13:53:11
86,4438185154468307690,meal,fin,2016-09-08 14:00:00
87,3562708527815477691,meal,fin,2016-09-12 09:25:39
88,8040356256204286795,meal,fin,2016-09-21 08:09:13
89,7988119402914762504,meal,fin,2016-10-04 12:45:17
90,3158809927039353473,meal,fin,2016-10-05 13:28:46
91,2877347493229669768,meal,fin,2016-10-07 09:03:46
92,130694193629811859,meal,fin,2016-10-10 04:56:59
93,2714383812390716346,meal,fin,2016-10-12 13:47:22
94,2211549946318251503,meal,fin,2016-10-17 10:47:09
95,3330399035868504917,meal,fin,2016-10-19 10:31:26
96,6028913854777634106,meal,fin,2016-10-25 10:40:58
97,3027496292839402007,snack,fin,2016-10-25 10:45:01
98,4175882789907299863,snack,fin,2016-10-25 10:59:03
99,3734315503649985042,meal,fin,2016-10-25 11:05:20
100,1939568250707528933,meal,fin,2016-10-25 11:11:28
101,741213633591095837,meal,fin,2016-10-25 11:27:37
102,3579653917479881262,meal,fin,2016-10-27 15:05:34
103,7908538247370828727,snack,fin,2016-10-31 13:47:33
104,7499471875979190624,meal,fin,2016-11-02 13:47:32
105,4877926441496687354,meal,fin,2016-11-03 08:32:18
106,8803471147562931084,snack,fin,2016-11-03 08:34:35
107,6221572543465854726,meal,fin,2016-11-03 08:37:50
108,7451782128523891820,meal,fin,2016-11-03 08:41:17
109,314074921652625707,meal,fin,2016-11-03 08:46:48
110,4823721868264173571,meal,fin,2016-11-03 08:49:18
111,4561081186522662031,snack,fin,2016-11-08 13:26:38
112,2155817799690016945,meal,fin,2016-11-08 23:23:08
113,3656695523803614645,meal,fin,2016-11-09 10:54:43
114,6591031159110818369,snack,fin,2016-11-10 09:01:24
115,6708546148587796074,snack,fin,2016-11-11 10:44:55
116,1383652033373033773,meal,fin,2016-11-15 11:07:19
117,9136983839725413700,meal,fin,2016-11-21 09:41:33
118,4724210674544281274,meal,fin,2016-11-22 08:15:00
119,3275439272464461446,meal,fin,2016-11-22 08:21:23
120,4263015105841232258,meal,fin,2016-11-30 06:22:39
121,7533772853085983087,meal,swe,2016-12-05 13:03:32
122,8245675306664690588,meal,fin,2016-12-05 14:18:30
123,6352257157259925192,meal,fin,2016-12-07 06:34:38
124,236821117710058459,snack,fin,2016-12-07 07:10:34
125,2812343831457725082,snack,fin,2016-12-07 10:52:02
126,1663236634506397240,meal,fin,2016-12-07 14:15:28
127,1043494625114277804,snack,fin,2016-12-28 09:18:48
128,5363321982118913301,snack,fin,2017-01-05 08:13:32
129,4792953758104822993,meal,fin,2017-01-09 14:02:49
130,7053961812251146781,meal,fin,2017-01-12 13:09:15
131,5822438051654781631,meal,fin,2017-01-17 12:06:39
132,3489742676470994574,snack,swe,2017-01-23 09:30:08
133,1301911487721355290,meal,fin,2017-01-24 16:12:29
134,1391393527529664421,meal,fin,2017-01-24 16:18:16
135,3786331095302225783,meal,fin,2017-02-01 11:44:18
136,4150615903048929373,meal,fin,2017-02-03 09:56:39
137,8497007129253182371,snack,fin,2017-02-06 07:29:01
138,656050775619539589,meal,swe,2017-02-07 09:02:08
139,8312310143652755348,meal,swe,2017-02-08 15:23:40
140,7358572130907759477,snack,fin,2017-02-09 06:25:54
141,1233579131027478841,meal,swe,2017-02-21 15:25:47
142,577576409383775606,meal,fin,2017-02-22 12:58:53
143,6920554755255311431,meal,fin,2017-02-24 12:29:02
144,2887324700354218834,meal,swe,2017-02-25 12:41:37
145,1651270076989508721,meal,swe,2017-02-27 14:00:56
146,7198110370745783236,meal,swe,2017-02-27 15:44:11
147,2090290743957680759,meal,fin,2017-03-09 09:25:11
148,5188564580490140030,meal,fin,2017-03-09 11:26:25
149,6379710363370466315,meal,fin,2017-03-10 09:15:23
150,5600335017831667651,meal,swe,2017-03-13 10:13:26
151,8447580630685057515,meal,fin,2017-03-14 10:40:23
152,4148781594949060202,meal,fin,2017-03-20 18:39:10
153,1611154199913139497,meal,fin,2017-03-27 08:42:15
154,4721148405087779244,meal,fin,2017-03-28 05:11:00
155,7474436947602675535,meal,fin,2017-03-28 05:21:16
156,2203960935814826856,meal,fin,2017-03-28 14:30:42
157,1209227128295048702,snack,fin,2017-03-29 12:13:25
158,3865474760205653333,meal,swe,2017-03-30 08:35:00
159,7510349444845141520,snack,fin,2017-04-03 04:51:36
160,1390705234022084672,meal,fin,2017-04-04 05:52:44
161,9167244584528811999,meal,fin,2017-04-04 16:35:22
162,8614628957521329823,meal,fin,2017-04-05 07:49:46
163,3270913447688478707,meal,fin,2017-04-18 07:12:30
164,6086281203514298246,meal,fin,2017-04-25 11:42:56
165,8431239498016533832,snack,fin,2017-04-25 12:30:29
166,3708549118789314817,meal,fin,2017-04-26 06:59:09
167,4760924582341408857,snack,fin,2017-05-02 04:24:33
168,7298189398373128946,meal,deu,2017-05-05 12:53:41
169,1432213779308019647,meal,fin,2017-05-11 10:24:29
170,1199285885417166545,meal,fin,2017-05-12 08:59:38
171,945811032979146076,meal,fin,2017-05-15 05:40:02
172,7353644995906527278,dessert,fin,2017-05-15 08:41:58
173,1849465514363819610,meal,fin,2017-05-29 10:41:36
174,8097235958083241788,meal,swe,2017-05-30 13:42:30
175,3501981544963071496,meal,fin,2017-05-31 11:42:57
176,5290784035855324765,meal,swe,2017-05-31 12:00:16
177,8236488317152260298,meal,fin,2017-06-02 08:08:56
178,4626817602811281867,meal,fin,2017-06-05 10:34:10
179,6072632881535151265,meal,fin,2017-06-05 19:01:20
180,2709580299283821802,snack,fin,2017-06-06 08:26:33
181,9122377734965436361,meal,fin,2017-06-07 12:20:58
182,955355487675193070,snack,fin,2017-06-09 10:54:09
183,5637414657076388336,meal,fin,2017-06-19 11:49:43
184,629581720503655514,snack,fin,2017-06-22 06:41:06
185,150763040291707909,meal,fin,2017-06-27 11:28:17
186,7804132175514695299,snack,fin,2017-06-29 07:45:22
187,759120821946592107,meal,fin,2017-07-03 12:35:26
188,218044401582734661,meal,fin,2017-07-11 08:34:14
189,3305079048362087829,meal,fin,2017-07-24 12:42:54
190,6847900364865088413,meal,fin,2017-07-27 06:35:22
